batch_id,steps,runtime,total_trim_loss,remaining_stock,used_stocks,avg_used_stock_area,total_reward
1,35246,0.0,3760,3,7,419.7142857142857,4172.708846748288
2,645,0.0,6362,2,8,273.875,48.72783835701558
3,13112,0.007768154144287109,1642,4,6,360.3333333333333,1697.7950353609099
4,20835,0.0,3923,3,7,425.42857142857144,2725.665616620262
5,4637,0.0,3999,3,7,218.57142857142858,115.858675359035
6,6378,0.0,2966,3,7,205.14285714285714,481.25053190941253
7,2313,0.0020046234130859375,3389,3,7,228.14285714285714,79.28643512308057
8,6902,0.003860950469970703,5826,2,8,273.125,781.9410143490627
9,9108,0.003006458282470703,3841,4,6,494.6666666666667,355.5673233020116
10,55,0.0020046234130859375,2823,5,5,312.4,-4.731796144292718
